experience	health	skill_points
0	100	0
100	120	5
307	140	10
633	160	15
1096	180	20
1720	200	25
2535	220	30
3577	240	35
4888	260	40
6516	280	45
8515	300	50
10945	320	55
13872	340	60
17368	360	65
21511	380	70
26385	400	75
32080	420	80
38692	440	85
46323	460	90
55081	480	95
65080	500	100
76440	520	105
89287	540	110
103753	560	115
119976	580	120
138100	600	125
158275	620	130
180657	640	135
205408	660	140
232696	680	145
262695	700	150
295585	720	155
331552	740	160
370788	760	165
413491	780	170
459865	800	175
510120	820	180
564472	840	185
623143	860	190
686361	880	195
754360	900	200
827380	920	205
905667	940	210
989473	960	215
1079056	980	220
1174680	1000	225
1276615	1020	230
1385137	1040	235
1500528	1060	240
1623076	1080	245
1753075	1100	250
1890825	1120	255
2036632	1140	260
2190808	1160	265
2353671	1180	270
2525545	1200	275
2706760	1220	280
2897652	1240	285
3098563	1260	290
3309841	1280	295
3531840	1300	300
3764920	1320	305
4009447	1340	310
4265793	1360	315
4534336	1380	320
4815460	1400	325
5109555	1420	330
5417017	1440	335
5738248	1460	340
6073656	1480	345
6423655	1500	350
6788665	1520	355
7169112	1540	360
7565428	1560	365
7978051	1580	370
8407425	1600	375
8854000	1620	380
9318232	1640	385
9800583	1660	390
10301521	1680	395
10821520	1700	400
11361060	1720	405
11920627	1740	410
12500713	1760	415
13101816	1780	420
13724440	1800	425
14369095	1820	430
15036297	1840	435
15726568	1860	440
16440436	1880	445
17178435	1900	450
17941105	1920	455
18728992	1940	460
19542648	1960	465
20382631	1980	470
21249505	2000	475
22143840	2020	480
23066212	2040	485
24017203	2060	490
24997401	2080	495
26007400	2100	500
27047800	2120	505
28119207	2140	510
29222233	2160	515
30357496	2180	520
31525620	2200	525
32727235	2220	530
33962977	2240	535
35233488	2260	540
36539416	2280	545
37881415	2300	550
39260145	2320	555
40676272	2340	560
42130468	2360	565
43623411	2380	570
45155785	2400	575
46728280	2420	580
48341592	2440	585
49996423	2460	590
51693481	2480	595
53433480	2500	600
55217140	2520	605
57045187	2540	610
58918353	2560	615
60837376	2580	620
62803000	2600	625
64815975	2620	630
66877057	2640	635
68987008	2660	640
71146596	2680	645
73356595	2700	650
75617785	2720	655
77930952	2740	660
80296888	2760	665
82716391	2780	670
85190265	2800	675
87719320	2820	680
90304372	2840	685
92946243	2860	690
95645761	2880	695
98403760	2900	700
101221080	2920	705
104098567	2940	710
107037073	2960	715
110037456	2980	720
113100580	3000	725
116227315	3020	730
119418537	3040	735
122675128	3060	740
125997976	3080	745
129387975	3100	750
132846025	3120	755
136373032	3140	760
139969908	3160	765
143637571	3180	770
147376945	3200	775
151188960	3220	780
155074552	3240	785
159034663	3260	790
163070241	3280	795
167182240	3300	800
171371620	3320	805
175639347	3340	810
179986393	3360	815
184413736	3380	820
188922360	3400	825
193513255	3420	830
198187417	3440	835
202945848	3460	840
207789556	3480	845
212719555	3500	850
217736865	3520	855
222842512	3540	860
228037528	3560	865
233322951	3580	870
238699825	3600	875
244169200	3620	880
249732132	3640	885
255389683	3660	890
261142921	3680	895
266992920	3700	900
272940760	3720	905
278987527	3740	910
285134313	3760	915
291382216	3780	920
297732340	3800	925
304185795	3820	930
310743697	3840	935
317407168	3860	940
324177336	3880	945
331055335	3900	950
338042305	3920	955
345139392	3940	960
352347748	3960	965
359668531	3980	970
367102905	4000	975
374652040	4020	980
382317112	4040	985
390099303	4060	990
397999801	4080	995
406019800	4100	1000
414160500	4120	1005
422423107	4140	1010
430808833	4160	1015
439318896	4180	1020
447954520	4200	1025
456716935	4220	1030
465607377	4240	1035
474627088	4260	1040
483777316	4280	1045
493059315	4300	1050
502474345	4320	1055
512023672	4340	1060
521708568	4360	1065
531530311	4380	1070
541490185	4400	1075
551589480	4420	1080
561829492	4440	1085
572211523	4460	1090
582736881	4480	1095
593406880	4500	1100
604222840	4520	1105
615186087	4540	1110
626297953	4560	1115
637559776	4580	1120
648972900	4600	1125
660538675	4620	1130
672258457	4640	1135
684133608	4660	1140
696165496	4680	1145
708355495	4700	1150
720704985	4720	1155
733215352	4740	1160
745887988	4760	1165
758724291	4780	1170
771725665	4800	1175
784893520	4820	1180
798229272	4840	1185
811734343	4860	1190
825410161	4880	1195
839258160	4900	1200
853279780	4920	1205
867476467	4940	1210
881849673	4960	1215
896400856	4980	1220
911131480	5000	1225
926043015	5020	1230
941136937	5040	1235
956414728	5060	1240
971877876	5080	1245
987527875	5100	1250
1003366225	5120	1255
1019394432	5140	1260
1035614008	5160	1265
1052026471	5180	1270
1068633345	5200	1275
1085436160	5220	1280
1102436452	5240	1285
1119635763	5260	1290
1137035641	5280	1295
1154637640	5300	1300
1172443320	5320	1305
1190454247	5340	1310
1208671993	5360	1315
1227098136	5380	1320
1245734260	5400	1325
1264581955	5420	1330
1283642817	5440	1335
1302918448	5460	1340
1322410456	5480	1345
1342120455	5500	1350
1362050065	5520	1355
1382200912	5540	1360
1402574628	5560	1365
1423172851	5580	1370
1443997225	5600	1375
1465049400	5620	1380
1486331032	5640	1385
1507843783	5660	1390
1529589321	5680	1395
1551569320	5700	1400
1573785460	5720	1405
1596239427	5740	1410
1618932913	5760	1415
1641867616	5780	1420
1665045240	5800	1425
1688467495	5820	1430
1712136097	5840	1435
1736052768	5860	1440
1760219236	5880	1445
1784637235	5900	1450
1809308505	5920	1455
1834234792	5940	1460
1859417848	5960	1465
1884859431	5980	1470
1910561305	6000	1475
1936525240	6020	1480
1962753012	6040	1485
1989246403	6060	1490
2016007201	6080	1495
2043037200	6100	1500
