id	name	animation_id	mesh_id	color_id	projectile_id	particlegroup_id	soundgroup_id	itemdrop_id	drop_count	health	health_level	ai_type	ai_attacks	view_range	xp	xp_level	freepathing	move_speed	move_speed_level	radius	scale	accuracy	attack_range	damage	damage_level	damage_spread	attack_period	weapon_type	attack_movespeed	poison	projectile_speed	mass	force
crate_ammo0	Ammo Crate I	crate_ammo0	meshes/box.mesh			crate	crate	crate_ammo0	5	25	25	0	0	0	0	0	0	0	0	0.48	1	0	0	0	0	0	0	0	0	0	0	0	0
crate_ammo1	Ammo Crate II	crate_ammo1	meshes/box.mesh			crate	crate	crate_ammo1	5	25	25	0	0	0	0	0	0	0	0	0.48	1	0	0	0	0	0	0	0	0	0	0	0	0
crate_ammo2	Ammo Crate III	crate_ammo2	meshes/box.mesh			crate	crate	crate_ammo2	5	25	25	0	0	0	0	0	0	0	0	0.48	1	0	0	0	0	0	0	0	0	0	0	0	0
crate_health0	Health Crate	crate_health0	meshes/box.mesh			crate	crate	crate_health0	2	25	25	0	0	0	0	0	0	0	0	0.48	1	0	0	0	0	0	0	0	0	0	0	0	0
crate_gun0	Gun Crate I	crate_gun0	meshes/box.mesh			crate	crate	crate_gun0	1	25	25	0	0	0	0	0	0	0	0	0.48	1	0	0	0	0	0	0	0	0	0	0	0	0
crate_gun1	Gun Crate II	crate_gun1	meshes/box.mesh			crate	crate	crate_gun1	1	25	25	0	0	0	0	0	0	0	0	0.48	1	0	0	0	0	0	0	0	0	0	0	0	0
crate_gun2	Gun Crate III	crate_gun2	meshes/box.mesh			crate	crate	crate_gun2	1	25	25	0	0	0	0	0	0	0	0	0.48	1	0	0	0	0	0	0	0	0	0	0	0	0
crate_gun3	Gun Crate IV	crate_gun3	meshes/box.mesh			crate	crate	crate_gun3	1	25	25	0	0	0	0	0	0	0	0	0.48	1	0	0	0	0	0	0	0	0	0	0	0	0
crate_melee0	Melee Crate I	crate_melee0	meshes/box.mesh			crate	crate	crate_melee0	1	25	25	0	0	0	0	0	0	0	0	0.48	1	0	0	0	0	0	0	0	0	0	0	0	0
crate_armor0	Armor Crate I	crate_armor0	meshes/box.mesh			crate	crate	crate_armor0	1	25	25	0	0	0	0	0	0	0	0	0.48	1	0	0	0	0	0	0	0	0	0	0	0	0
crate_mod0	Weapon Mod Crate	crate_mod0	meshes/box.mesh			crate	crate	crate_mod0	1	25	25	0	0	0	0	0	0	0	0	0.48	1	0	0	0	0	0	0	0	0	0	0	0	0
crate_mod1	Armor Mod Crate	crate_mod1	meshes/box.mesh			crate	crate	crate_mod1	1	25	25	0	0	0	0	0	0	0	0	0.48	1	0	0	0	0	0	0	0	0	0	0	0	0
crate_mod2	Special Mod Crate	crate_mod2	meshes/box.mesh			crate	crate	crate_mod2	1	25	25	0	0	0	0	0	0	0	0	0.48	1	0	0	0	0	0	0	0	0	0	0	0	0
monster_zombie	Zombie	zombie				monster	zombie	monster_small	1	50	25	3	0	15	10	5	0	0.3	0.05	0.3	0.8	0	0.7	10	5	0.1	1.7	1	0.1	0	0	1	-0.05
monster_dog	Dog	dog				monster	dog	monster_small	1	20	10	4	3	25	8	4	0	7	0.1	0.2	0.7	0	0.9	16	8	0.1	0.8	1	0.5	0	0	0.35	-0.05
monster_bat	Bat	bat		dark		monster	bat	monster_small	1	16	8	4	1	20	6	3	0	4	0.1	0.2	0.5	0	0.7	8	4	0.1	1.1	1	0.25	0.5	0	0.1	0
monster_spider	Spider	spider				monster	spider	monster_small	1	14	7	3	0	18	6	3	0	5	0.07	0.2	0.5	0	0.7	7	4	0.1	1	1	0.25	1	0	0.1	0
monster_skeleton	Skeleton	skeleton				monster	skeleton	monster_medium	1	60	30	3	0	15	12	6	0	1.3	0.05	0.3	1.25	0	0.9	12	6	0.1	1.2	1	0.1	0	0	0.85	0.02
monster_beast	Beast	beast				monster	beast	monster_large	1	150	75	3	0	18	40	20	0	1	0.03	0.4	2	0	1.2	40	20	0.1	1.75	1	0.1	0	0	3	0.1
monster_fighter	Mercenary	fighter				monster	fighter	monster_medium	1	75	35	3	0	20	16	8	0	2.35	0.07	0.3	1	0	0.9	20	10	0.1	0.7	1	0.25	0	0	1.5	0.03
