id	text
test	This is a test message
tutorial_move	Press the keys [c red]{game_up} {game_left} {game_down} {game_right}[c white] to move your character.\n\nMove the [c red]mouse[c white] to look around.
tutorial_door	To open the door, press [c red]{game_use}[c white] while facing it.
tutorial_pickup	Press [c red]{game_use}[c white] to pick up items.\n\nPress [c red]{game_inventory}[c white] to open your inventory.
tutorial_heal	Medkits are automatically used when touched.\n\nA portion of your health is slowly restored when outside of combat.
tutorial_melee	Press [c red]{game_melee}[c white] to attack with your melee weapon.
tutorial_switch	Press [c red]{game_use}[c white] to activate the switch.
tutorial_fire	Press [c red]{game_fire}[c white] to shoot your gun.\nHold [c red]{game_aim}[c white] to aim and reduce recoil at the cost of movement speed.\n\nWhen the reticle turns [c yellow]yellow[c white], critical hit chance is doubled.
tutorial_keys	Keys are kept until the end of the level.\n\nHold [c red]{game_sprint}[c white] to sprint back.
tutorial_crate	Attack the crate to open it.
tutorial_swap	Press [c red]{game_weaponswitch}[c white] to switch weapons.
tutorial_map	Hold [c red]{game_map}[c white] to view the map.\n\nYellow icons are keys.
tutorial_reach	While your inventory is open, [c red]left-click[c white] and [c red]drag[c white] the item to move it into your inventory.
tutorial_flashlight	Press [c red]{game_flashlight}[c white] to turn your flashlight on.
tutorial_boss	Kill the boss to get the final key!
tutorial_handling	Increasing your gun handling stat reduces the recoil of your guns.
tutorial_skills	Skill points can be spent to increase various attributes when you level up. Try increasing [c red]Fortitude[c white] if you are having problems staying alive.
tutorial_alt	Holding [c red]Alt[c white] will show additional information on the inventory screen.
tutorial_mod	Mods can be used to enhance your gear.\n\nOpen your inventory and try adding a mod to one of your weapons or armor.
tutorial_quality	The [c red]level[c white] of an item determines its damage or mod capacity.\n\nItem [c red]quality[c white] is random and affects all of its stats.
tutorial_bolt	The Bolt-Action Rifle can be used to pick off enemies from a distance. Try holding [c red]{game_aim}[c white] to pan the camera around.
tutorial_sorting	You can sort your inventory by pressing\n[c red]{game_sortinventory}[c white] or by clicking the sort icon.\n\nItems are sorted by type, level, then quality.
tutorial_crossbow	Like the Sawed-off Shotgun, the [c red]Crossbow[c white] shoots all of its loaded ammunition when fired.\n\nTry increasing its bolt capacity with mods.
mansion_tree	A nearby tree falls...
mansion_switches	Find the switches to lower the gates.
