id	name	icon_id	melee_id	soundgroup_id	particlegroup_id	projectile_id	ammo_id	pickup_id	weapon_type	damage	damage_level	damage_spread	zoom_scale	accuracy_min	accuracy_max	accuracy_regen	recoil	move_recoil	range	fire_rate	fire_period	fire_allrounds	shoot_period	burst_rounds	burst_period	reload_amount	reload_period	mods	mods_level	attack_count	rounds	penetration	penetration_damage	crit_chance	attack_movespeed	melee_width	melee_offset	melee_switch	scale_x	scale_y	projectile_speed	explosion_size	flash	push	force
weapon_fists	Fists		textures/melee/fist.png						1	7	3	0.1	0	0	0	0	0	0	0.6	1	0.5	0	0	0	0	0	0	0	0	1	0	1	0.5	25	0.2	0.05	0.2	1	0.125	0.5	0	0	1	0	0.03
weapon_knife	Knife	textures/items/weapon_knife.png	textures/melee/knife.png	knife					1	10	10	0.1	0	0	0	0	0	0	0.5	1	0.35	0	0	0	0	0	0	0.5	0.2	1	0	2	0.85	20	0.25	0.05	0.15	0	0.125	0.5	0	0	1	0	0.01
weapon_spear	Spear	textures/items/weapon_spear.png	textures/melee/spear.png	spear					1	15	10	0.1	0	0	0	0	0	0	1.5	1	0.65	0	0	0	0	0	0	0.5	0.2	1	0	5	0.9	10	0.05	0.05	0.1	0	0.09375	1.5	0	0	1	0	0.03
weapon_pistol	Pistol	textures/items/weapon_pistol.png		pistol	gun		pistol		2	16	8	0.1	5	6	35	10	10	3	0	0	0.2	0	0.2	0	0	0	1.7	0.5	0.2	1	10	1	0.75	10	0.85	0	0	0	0	0	0	0	1	0	0.02
weapon_revolver	Revolver	textures/items/weapon_revolver.png		revolver	gun		magnum		2	50	25	0.2	5	8	45	8	20	2	0	0	0.4	0	0.4	0	0	0	2.4	0.5	0.2	1	6	2	0.85	15	0.7	0	0	0	0	0	0	0	1	0.02	0.06
weapon_shotgun	Shotgun	textures/items/weapon_shotgun.png		shotgun	gun		shell		3	10	5	0.1	20	12	28	5	5	2	0	0	1	0	0.35	0	0	1	0.65	0.5	0.2	5	5	1	0.7	5	0.75	0	0	0	0	0	0	0	1	0.015	0.015
weapon_sawedoff	Sawed-off Shotgun	textures/items/weapon_sawedoff.png		shotgun	gun_big		shell		3	14	7	0.1	20	24	36	5	35	2	0	0	1	1	0.25	0	0	0	1.85	0.5	0.2	5	2	1	0.75	5	0.75	0	0	0	0	0	0	0	1	0.025	0.015
weapon_boltrifle	Bolt-Action Rifle	textures/items/weapon_boltrifle.png		boltrifle	gun		rifle		4	60	30	0.1	1.6	2	45	10	50	20	0	0	2	0	0.5	0	0	1	0.65	0.5	0.2	1	5	2	0.9	20	0.5	0	0	0	0	0	0	0	1	0	0.04
weapon_assaultrifle	Assault Rifle	textures/items/weapon_assaultrifle.png		rifle	gun		rifle		4	16	8	0.15	5	9	22	5	6	3	0	1	0.1	0	0.2	0	0	0	2.75	0.5	0.2	1	30	1	0.8	5	0.4	0	0	0	0	0	0	0	1	0	0.02
weapon_tacticalrifle	Tactical Rifle	textures/items/weapon_tacticalrifle.png		rifle	gun		rifle		4	18	9	0.1	5	4	30	5	10	3	0	0	0.4	0	0.15	3	0.07	0	2.2	0.5	0.2	1	20	1	0.75	8	0.5	0	0	0	0	0	0	0	1	0	0.02
weapon_plasmarifle	Plasma Rifle	textures/items/weapon_plasmarifle.png		plasma	plasma	plasma	plasma		4	24	12	0.2	5	7	18	7	10	3	0	1	0.13	0	0.2	0	0	0	2.75	0.5	0.2	1	40	1	0.85	7	0.3	0	0	0	0	0	30	0	1	0	0.03
weapon_carbine	Carbine	textures/items/weapon_carbine.png		carbine	gun		magnum		4	40	20	0.2	2.5	3	17	7	15	3	0	0	0.5	0	0.35	0	0	1	0.55	0.5	0.2	1	8	1	0.85	15	0.6	0	0	0	0	0	0	0	1	0	0.05
weapon_smg	Submachine Gun	textures/items/weapon_smg.png		smg	gun		pistol		4	12	6	0.1	4	6	14	10	10	5	0	1	0.08	0	0.15	0	0	0	2	0.5	0.2	1	32	1	0.7	5	0.7	0	0	0	0	0	0	0	1	0	0.01
weapon_minigun	Minigun	textures/items/weapon_minigun.png		minigun	gun_big		heavy		5	14	7	0.5	20	14	26	5	15	5	0	1	0.1	0	0.2	0	0	0	5	0.5	0.2	1	100	1	0.85	5	0.1	0	0	0	0	0	0	0	1	0.02	0.035
weapon_rocketlauncher	Rocket Launcher	textures/items/weapon_rocketlauncher.png		rocketlauncher	rocketlauncher	rocket	rocket		5	150	75	0.2	2	3	40	15	100	20	0	0	1	0	0.4	0	0	1	5	0.5	0.2	1	1	1	0	10	0.5	0	0	0	0	0	30	7.5	1	0.08	0.25
weapon_crossbow	Crossbow	textures/items/weapon_crossbow.png		crossbow		bolt	bolt	ammo_bolt	5	40	20	0.2	1.8	3	27	15	50	10	0	0	1	1	0.2	0	0	0	1.6	0.5	0.2	1	1	5	0.9	15	0.5	0	0	0	0	0	30	0	0	0.02	0.03
weapon_sniper	Sniper Rifle	textures/items/weapon_sniper.png		sniper	gun_big		heavy		5	100	50	0.1	1.1	1	40	10	100	25	0	0	2.25	0	0.75	0	0	1	1.25	0.5	0.2	1	1	3	0.95	40	0.35	0	0	0	0	0	0	0	1	0.025	0.1
