id	volume	limit
bat_attack0.ogg	0.85	5
bat_attack1.ogg	0.85	5
beast_move0.ogg	0.7	5
bolt_hit0.ogg	0.3	1
boltrifle_fire0.ogg	0.7	3
bot_die0.ogg	0.7	5
bot_hit0.ogg	0.95	5
bot_move0.ogg	0.7	5
carbine_fire0.ogg	0.7	3
crate_die0.ogg	0.4	2
crossbow_fire0.ogg	0.35	3
crossbow_reload0.ogg	0.3	1
demon_attack0.ogg	0.95	5
demon_die0.ogg	0.3	5
dog_attack0.ogg	0.7	5
dog_attack1.ogg	0.65	5
dog_die0.ogg	0.7	5
dog_die1.ogg	0.7	5
dog_move0.ogg	0.05	5
equip_armor0.ogg	0.25	1
equip_gun0.ogg	0.4	1
equip_melee0.ogg	0.25	1
event_close.ogg	1	3
event_crash0.ogg	1	1
event_door.ogg	0.7	1
event_open.ogg	1	3
event_platform0.ogg	0.8	3
event_rumble0.ogg	1	1
event_shrub.ogg	0.5	1
event_switch.ogg	0.5	1
event_teleport.ogg	0.5	1
game_click0.ogg	0.4	1
game_flashlight0.ogg	1	1
game_hammer.ogg	0.5	1
game_lava0.ogg	1	3
game_levelup0.ogg	1	1
game_locked.ogg	1	1
game_message0.ogg	1	1
game_secret0.ogg	1	1
game_whetstone.ogg	0.7	1
knife_fire0.ogg	0.7	3
knife_hit0.ogg	0.7	3
monster_hit0.ogg	1	5
monster_punch0.ogg	0.3	5
pistol_empty0.ogg	0.7	1
pistol_fire0.ogg	0.5	5
pistol_reload0.ogg	1	1
pistol_ricochet0.ogg	0.2	1
plasma_fire0.ogg	0.7	5
player_die0.ogg	0.7	1
player_hit0.ogg	0.7	1
player_move0.ogg	0.05	1
player_punch0.ogg	0.7	1
player_swing0.ogg	0.7	1
revolver_fire0.ogg	0.7	3
revolver_reload0.ogg	0.7	1
rifle_fire0.ogg	0.7	3
rifle_fire1.ogg	0.7	3
rocket_explode0.ogg	0.7	3
rocketlauncher_fire0.ogg	0.7	3
rocketlauncher_reload0.ogg	1	1
shotgun_fire0.ogg	0.6	3
shotgun_reload0.ogg	0.7	1
skeleton_die0.ogg	0.7	3
skeleton_move0.ogg	0.7	5
smg_fire0.ogg	0.6	5
sniper_fire0.ogg	1	2
spear_fire0.ogg	0.7	3
spider_attack0.ogg	0.7	5
wisp_attack0.ogg	0.7	5
wisp_die0.ogg	0.7	3
zombie_attack0.ogg	0.8	3
zombie_die0.ogg	0.7	3
zombie_move0.ogg	0.1	10
