id	text
test	This is a test message
tutorial_move	Press the keys [c red]ESDF[c white] to move your character.\n\nMove the [c red]mouse[c white] to look around.
tutorial_door	To open the door, press [c red]Spacebar[c white] while facing it.
tutorial_pickup	Press [c red]Spacebar[c white] to pick up items.\n\nPress [c red]C[c white] to open your inventory.
tutorial_heal	Medkits are automatically used when touched.\n\nA portion of your health is slowly restored when outside of combat.
tutorial_melee	Press [c red]Mouse button 4[c white] to attack with your melee weapon.
tutorial_switch	Press [c red]Spacebar[c white] to activate the switch.
tutorial_fire	Press [c red]Left-click[c white] to shoot your gun.\nHold [c red]right-click[c white] to aim and reduce recoil at the cost of movement speed.\n\nWhen the reticle turns [c yellow]yellow[c white], critical hit chance is doubled.
tutorial_keys	Keys are kept until the end of the level.\n\nHold [c red]A[c white] to sprint back.
tutorial_crate	Attack the crate to open it.
tutorial_swap	Press [c red]W[c white] to switch weapons.
tutorial_map	Hold [c red]Tab[c white] to view the map.\n\nYellow icons are keys.
tutorial_flashlight	Press [c red]V[c white] to turn your flashlight on.
tutorial_boss	Kill the boss to get the final key!
tutorial_handling	Increasing your gun handling stat reduces the recoil of your guns.
tutorial_skills	Skill points can be spent to increase various attributes when you level up. Try increasing [c red]Fortitude[c white] if you are having problems staying alive.
tutorial_alt	Holding [c red]Alt[c white] will show additional information on the inventory screen.
mansion_tree	A nearby tree falls...
mansion_switches	Find the switches to lower the gates.
