identifier	background color	border color	program	texture	texture color	stretch
style_menu_window	menu_red_opaque	menu_red_border	ortho_pos			0
style_menu_box	menu_red_bg	menu_red_border	ortho_pos			0
style_menu_hover	menu_selected	menu_selected	ortho_pos			0
style_menu_textbox	menu_darkred_bg	menu_red_border	ortho_pos			0
style_menu_select		menu_red_border	ortho_pos			0
style_menu_button			ortho_pos_uv	textures/menu/button.png		0
style_menu_button_hover			ortho_pos_uv	textures/menu/button_hover.png		0
style_editor_button_selected	editor_hover		ortho_pos			0
style_editor_layer1			ortho_pos_uv	textures/editor/layer1.png		0
style_editor_layer2			ortho_pos_uv	textures/editor/layer2.png		0
style_editor_layer3			ortho_pos_uv	textures/editor/layer3.png		0
style_editor_layer4			ortho_pos_uv	textures/editor/layer4.png		0
style_editor_layer5			ortho_pos_uv	textures/editor/layer5.png		0
style_editor_wall			ortho_pos_uv	textures/editor/wall.png		0
style_editor_fore			ortho_pos_uv	textures/editor/fore.png		0
style_editor_up			ortho_pos_uv	textures/editor/up.png		0
style_editor_down			ortho_pos_uv	textures/editor/down.png		0
style_editor_block			ortho_pos_uv	textures/editor/block.png		0
style_editor_event			ortho_pos_uv	textures/editor/event.png		0
style_editor_mons			ortho_pos_uv	textures/editor/mons.png		0
style_editor_item			ortho_pos_uv	textures/editor/item.png		0
style_editor_ammo			ortho_pos_uv	textures/editor/ammo.png		0
style_editor_mod			ortho_pos_uv	textures/editor/mod.png		0
style_editor_weap			ortho_pos_uv	textures/editor/weap.png		0
style_editor_arm			ortho_pos_uv	textures/editor/arm.png		0
style_editor_none			ortho_pos_uv	textures/editor/none.png		0
style_editor_del			ortho_pos_uv	textures/editor/del.png		0
style_editor_copy			ortho_pos_uv	textures/editor/copy.png		0
style_editor_paste			ortho_pos_uv	textures/editor/paste.png		0
style_editor_show			ortho_pos_uv	textures/editor/show.png		0
style_editor_undo			ortho_pos_uv	textures/editor/undo.png		0
style_editor_new			ortho_pos_uv	textures/editor/new.png		0
style_editor_grid			ortho_pos_uv	textures/editor/grid.png		0
style_editor_mset			ortho_pos_uv	textures/editor/mset.png		0
style_editor_load			ortho_pos_uv	textures/editor/load.png		0
style_editor_save			ortho_pos_uv	textures/editor/save.png		0
style_editor_test			ortho_pos_uv	textures/editor/test.png		0
style_editor_walk			ortho_pos_uv	textures/editor/walk.png		0
style_editor_rotate			ortho_pos_uv	textures/editor/rotate.png		0
style_editor_mirror			ortho_pos_uv	textures/editor/mirror.png		0
style_editor_raise			ortho_pos_uv	textures/editor/raise.png		0
style_editor_lower			ortho_pos_uv	textures/editor/lower.png		0
style_editor_tile			ortho_pos_uv	textures/editor/tile.png		0
style_editor_levelup			ortho_pos_uv	textures/editor/level_up.png		0
style_editor_leveldown			ortho_pos_uv	textures/editor/level_down.png		0
style_editor_periodup			ortho_pos_uv	textures/editor/period_up.png		0
style_editor_perioddown			ortho_pos_uv	textures/editor/period_down.png		0
style_editor_active			ortho_pos_uv	textures/editor/active.png		0
style_editor_itemidentifier			ortho_pos_uv	textures/editor/item_identifier.png		0
style_editor_monsidentifier			ortho_pos_uv	textures/editor/mons_identifier.png		0
style_editor_partidentifier			ortho_pos_uv	textures/editor/part_identifier.png		0
style_editor_paletteprevious			ortho_pos_uv	textures/editor/palette_previous.png		0
style_editor_palettenext			ortho_pos_uv	textures/editor/palette_next.png		0
style_editor_palette	black	white	ortho_pos			0
style_hud_inventory			ortho_pos_uv	textures/hud/inventory_slot.png		0
style_hud_inventory_armor			ortho_pos_uv	textures/hud/inventory_armor.png		0
style_hud_inventory_gun			ortho_pos_uv	textures/hud/inventory_gun.png		0
style_hud_inventory_melee			ortho_pos_uv	textures/hud/inventory_melee.png		0
style_hud_skills	skills_bg		ortho_pos			0
style_hud_plus			ortho_pos_uv	textures/hud/plus.png		0
style_hud_plus_hover			ortho_pos_uv	textures/hud/plus_hover.png		0
