identifier	texture	group	repeat	mipmaps
editor_eventdoor	editor/event_door.png	1	1	1
editor_eventwswitch	editor/event_wswitch.png	1	1	1
editor_eventspawn	editor/event_spawn.png	1	1	1
editor_eventcheck	editor/event_check.png	1	1	1
editor_eventend	editor/event_end.png	1	1	1
editor_eventtext	editor/event_text.png	1	1	1
editor_eventsound	editor/event_sound.png	1	1	1
editor_eventfswitch	editor/event_fswitch.png	1	1	1
editor_eventenable	editor/event_enable.png	1	1	1
editor_eventtele	editor/event_tele.png	1	1	1
editor_eventlight	editor/event_light.png	1	1	1
editor_active	editor/active.png	1	0	0
editor_ammo	editor/ammo.png	1	0	0
editor_arm	editor/arm.png	1	0	0
editor_block	editor/block.png	1	0	0
editor_new	editor/new.png	1	0	0
editor_copy	editor/copy.png	1	0	0
editor_del	editor/del.png	1	0	0
editor_down	editor/down.png	1	0	0
editor_event	editor/event.png	1	0	0
editor_fore	editor/fore.png	1	0	0
editor_grid	editor/grid.png	1	0	0
editor_item	editor/item.png	1	0	0
editor_itemidentifier	editor/item_identifier.png	1	0	0
editor_layer1	editor/layer1.png	1	0	0
editor_layer2	editor/layer2.png	1	0	0
editor_layer3	editor/layer3.png	1	0	0
editor_layer4	editor/layer4.png	1	0	0
editor_layer5	editor/layer5.png	1	0	0
editor_levelup	editor/level_up.png	1	0	0
editor_leveldown	editor/level_down.png	1	0	0
editor_load	editor/load.png	1	0	0
editor_lower	editor/lower.png	1	0	0
editor_mirror	editor/mirror.png	1	0	0
editor_mod	editor/mod.png	1	0	0
editor_mons	editor/mons.png	1	0	0
editor_monsidentifier	editor/mons_identifier.png	1	0	0
editor_mset	editor/mset.png	1	0	0
editor_none	editor/none.png	1	0	0
editor_partidentifier	editor/part_identifier.png	1	0	0
editor_paste	editor/paste.png	1	0	0
editor_periodup	editor/period_up.png	1	0	0
editor_perioddown	editor/period_down.png	1	0	0
editor_raise	editor/raise.png	1	0	0
editor_rotate	editor/rotate.png	1	0	0
editor_save	editor/save.png	1	0	0
editor_show	editor/show.png	1	0	0
editor_test	editor/test.png	1	0	0
editor_tile	editor/tile.png	1	0	0
editor_undo	editor/undo.png	1	0	0
editor_up	editor/up.png	1	0	0
editor_walk	editor/walk.png	1	0	0
editor_wall	editor/wall.png	1	0	0
editor_weap	editor/weap.png	1	0	0
editor_selected0	editor/selected0.png	1	0	0
editor_selected1	editor/selected1.png	1	0	0
editor_paletteprevious	editor/palette_previous.png	1	0	0
editor_palettenext	editor/palette_next.png	1	0	0
