identifier	texture	repeat	mipmaps
f_alien0	textures/map/f_alien0.png	1	1
f_alien1	textures/map/f_alien1.png	1	1
f_alienbush0	textures/map/f_alienbush0.png	1	1
f_blobby0	textures/map/f_blobby0.png	1	1
f_ceiling0	textures/map/f_ceiling0.png	1	1
f_fog0	textures/map/f_fog0.png	1	1
f_frontdoor0	textures/map/f_frontdoor0.png	1	1
fl_brick0door0	textures/map/fl_brick0door0.png	1	1
fl_brick0door1	textures/map/fl_brick0door1.png	1	1
fl_cliffdoor0	textures/map/fl_cliffdoor0.png	1	1
fl_cliffdoor1	textures/map/fl_cliffdoor1.png	1	1
fl_door1	textures/map/fl_door1.png	1	1
fl_door2	textures/map/fl_door2.png	1	1
fl_fence0	textures/map/fl_fence0.png	1	1
fl_grave0	textures/map/fl_grave0.png	1	1
fl_metalfence0	textures/map/fl_metalfence0.png	1	1
fl_metalfence1	textures/map/fl_metalfence1.png	1	1
fl_sign0	textures/map/fl_sign0.png	1	1
f_tree0	textures/map/f_tree0.png	1	1
f_woodfence0	textures/map/f_woodfence0.png	1	1
f_woodgate0	textures/map/f_woodgate0.png	1	1
f_woodgate1	textures/map/f_woodgate1.png	1	1
g_alienfloor0	textures/map/g_alienfloor0.png	1	1
g_alienfloor1	textures/map/g_alienfloor1.png	1	1
g_alienwater0	textures/map/g_alienwater0.png	1	1
g_alienwater1	textures/map/g_alienwater1.png	1	1
g_bigrock0	textures/map/g_bigrock0.png	1	1
g_blood0	textures/map/g_blood0.png	1	1
g_brick0	textures/map/g_brick0.png	1	1
g_brick1	textures/map/g_brick1.png	1	1
g_brick2	textures/map/g_brick2.png	1	1
g_brick3	textures/map/g_brick3.png	1	1
g_carpet0	textures/map/g_carpet0.png	1	1
g_carpet1	textures/map/g_carpet1.png	1	1
g_carpet2	textures/map/g_carpet2.png	1	1
g_dirt0	textures/map/g_dirt0.png	1	1
g_dirt1	textures/map/g_dirt1.png	1	1
g_evergreen0	textures/map/g_evergreen0.png	1	1
g_fire0	textures/map/g_fire0.png	1	1
g_flowers0	textures/map/g_flowers0.png	1	1
g_grass0	textures/map/g_grass0.png	1	1
g_grass1	textures/map/g_grass1.png	1	1
g_grass2	textures/map/g_grass2.png	1	1
g_grassmarsh0	textures/map/g_grassmarsh0.png	1	1
g_gravel0	textures/map/g_gravel0.png	1	1
g_gravelbig0	textures/map/g_gravelbig0.png	1	1
g_greenwood0	textures/map/g_greenwood0.png	1	1
g_grid0	textures/map/g_grid0.png	1	1
g_inside0	textures/map/g_inside0.png	1	1
g_lava0	textures/map/g_lava0.png	1	1
g_marble0	textures/map/g_marble0.png	1	1
g_marble1	textures/map/g_marble1.png	1	1
g_path0	textures/map/g_path0.png	1	1
g_road0	textures/map/g_road0.png	1	1
g_road1	textures/map/g_road1.png	1	1
g_rock0	textures/map/g_rock0.png	1	1
g_sidewalk0	textures/map/g_sidewalk0.png	1	1
g_street0	textures/map/g_street0.png	1	1
g_street1	textures/map/g_street1.png	1	1
g_street2	textures/map/g_street2.png	1	1
g_street3	textures/map/g_street3.png	1	1
gt_grass1	textures/map/gt_grass1.png	1	1
g_water0	textures/map/g_water0.png	1	1
g_water1	textures/map/g_water1.png	1	1
g_water2	textures/map/g_water2.png	1	1
g_wood0	textures/map/g_wood0.png	1	1
g_wood1	textures/map/g_wood1.png	1	1
g_wood2	textures/map/g_wood2.png	1	1
g_wood3	textures/map/g_wood3.png	1	1
g_wood4	textures/map/g_wood4.png	1	1
g_worngrass0	textures/map/g_worngrass0.png	1	1
w_alien0	textures/map/w_alien0.png	1	1
w_alienbark0	textures/map/w_alienbark0.png	1	1
w_aliendoor0	textures/map/w_aliendoor0.png	1	1
w_aliendoor1	textures/map/w_aliendoor1.png	1	1
w_alienstump0	textures/map/w_alienstump0.png	1	1
w_alienswitch0	textures/map/w_alienswitch0.png	1	1
w_alienswitch1	textures/map/w_alienswitch1.png	1	1
w_blood0	textures/map/w_blood0.png	1	1
w_blood1	textures/map/w_blood1.png	1	1
w_bloodbrick0	textures/map/w_bloodbrick0.png	1	1
w_brick0	textures/map/w_brick0.png	1	1
w_brick0switch0	textures/map/w_brick0switch0.png	1	1
w_brick0switch1	textures/map/w_brick0switch1.png	1	1
w_brick1	textures/map/w_brick1.png	1	1
w_building0	textures/map/w_building0.png	1	1
w_cliff0	textures/map/w_cliff0.png	1	1
w_cliffswitch1	textures/map/w_cliffswitch1.png	1	1
w_helldoor0	textures/map/w_helldoor0.png	1	1
w_helldoor1	textures/map/w_helldoor1.png	1	1
w_housebrick0	textures/map/w_housebrick0.png	1	1
w_room0	textures/map/w_room0.png	1	1
w_sand1	textures/map/w_sand1.png	1	1
w_shedwall0	textures/map/w_shedwall0.png	1	1
w_skullswitch0	textures/map/w_skullswitch0.png	1	1
w_skullswitch1	textures/map/w_skullswitch1.png	1	1
w_stones0	textures/map/w_stones0.png	1	1
w_stones1	textures/map/w_stones1.png	1	1
w_stones2	textures/map/w_stones2.png	1	1
w_stones_switch0	textures/map/w_stones_switch0.png	1	1
w_stones_switch1	textures/map/w_stones_switch1.png	1	1
w_stumpswitch0	textures/map/w_stumpswitch0.png	1	1
w_stumpswitch1	textures/map/w_stumpswitch1.png	1	1
w_trans0	textures/map/w_trans0.png	1	1
w_treebark0	textures/map/w_treebark0.png	1	1
w_treebark1	textures/map/w_treebark1.png	1	1
w_treestump0	textures/map/w_treestump0.png	1	1
w_vent0	textures/map/w_vent0.png	1	1
w_wall0	textures/map/w_wall0.png	1	1
w_wall1	textures/map/w_wall1.png	1	1
w_wallpaper0	textures/map/w_wallpaper0.png	1	1
w_white0	textures/map/w_white0.png	1	1
w_window0	textures/map/w_window0.png	1	1
w_window1	textures/map/w_window1.png	1	1
w_windowhell0	textures/map/w_windowhell0.png	1	1
