identifier	parent	style	hover style	offset x	offset y	width	height	alignment x	alignment y	index
button_title_tutorial	element_menu_title	style_menu_button	style_menu_button_hover	0	200	128	32	1	0	-1
button_title_single	element_menu_title	style_menu_button	style_menu_button_hover	0	250	128	32	1	0	-1
button_title_options	element_menu_title	style_menu_button	style_menu_button_hover	0	300	128	32	1	0	-1
button_title_exit	element_menu_title	style_menu_button	style_menu_button_hover	0	350	128	32	1	0	-1
button_singleplayer_delete	element_menu_singleplayer	style_menu_button	style_menu_button_hover	-140	650	128	32	1	0	-1
button_singleplayer_play	element_menu_singleplayer	style_menu_button	style_menu_button_hover	0	650	128	32	1	0	-1
button_singleplayer_back	element_menu_singleplayer	style_menu_button	style_menu_button_hover	140	650	128	32	1	0	-1
button_singleplayer_slot0	element_menu_singleplayer	style_menu_box	style_menu_hover	-320	150	128	128	1	0	0
button_singleplayer_slot1	element_menu_singleplayer	style_menu_box	style_menu_hover	-160	150	128	128	1	0	1
button_singleplayer_slot2	element_menu_singleplayer	style_menu_box	style_menu_hover	0	150	128	128	1	0	2
button_singleplayer_slot3	element_menu_singleplayer	style_menu_box	style_menu_hover	160	150	128	128	1	0	3
button_singleplayer_slot4	element_menu_singleplayer	style_menu_box	style_menu_hover	320	150	128	128	1	0	4
button_singleplayer_slot5	element_menu_singleplayer	style_menu_box	style_menu_hover	-320	400	128	128	1	0	5
button_singleplayer_slot6	element_menu_singleplayer	style_menu_box	style_menu_hover	-160	400	128	128	1	0	6
button_singleplayer_slot7	element_menu_singleplayer	style_menu_box	style_menu_hover	0	400	128	128	1	0	7
button_singleplayer_slot8	element_menu_singleplayer	style_menu_box	style_menu_hover	160	400	128	128	1	0	8
button_singleplayer_slot9	element_menu_singleplayer	style_menu_box	style_menu_hover	320	400	128	128	1	0	9
button_new_create	element_menu_new	style_menu_button	style_menu_button_hover	-70	-25	128	32	1	2	-1
button_new_cancel	element_menu_new	style_menu_button	style_menu_button_hover	80	-25	128	32	1	2	-1
button_new_color0	element_menu_new		style_menu_select	60	200	64	64	0	0	-1
button_new_color1	element_menu_new		style_menu_select	130	200	64	64	0	0	-1
button_new_color2	element_menu_new		style_menu_select	200	200	64	64	0	0	-1
button_new_color3	element_menu_new		style_menu_select	270	200	64	64	0	0	-1
button_options_defaults	element_menu_options	style_menu_button	style_menu_button_hover	-140	650	128	32	1	0	-1
button_options_save	element_menu_options	style_menu_button	style_menu_button_hover	0	650	128	32	1	0	-1
button_options_cancel	element_menu_options	style_menu_button	style_menu_button_hover	140	650	128	32	1	0	-1
button_options_input_up	element_menu_options	style_menu_box	style_menu_hover	-125	250	128	32	1	0	-1
button_options_input_down	element_menu_options	style_menu_box	style_menu_hover	-125	300	128	32	1	0	-1
button_options_input_left	element_menu_options	style_menu_box	style_menu_hover	-125	350	128	32	1	0	-1
button_options_input_right	element_menu_options	style_menu_box	style_menu_hover	-125	400	128	32	1	0	-1
button_options_input_use	element_menu_options	style_menu_box	style_menu_hover	-125	450	128	32	1	0	-1
button_options_input_sprint	element_menu_options	style_menu_box	style_menu_hover	-125	500	128	32	1	0	-1
button_options_input_fire	element_menu_options	style_menu_box	style_menu_hover	225	250	128	32	1	0	-1
button_options_input_aim	element_menu_options	style_menu_box	style_menu_hover	225	300	128	32	1	0	-1
button_options_input_melee	element_menu_options	style_menu_box	style_menu_hover	225	350	128	32	1	0	-1
button_options_input_reload	element_menu_options	style_menu_box	style_menu_hover	225	400	128	32	1	0	-1
button_options_input_switch	element_menu_options	style_menu_box	style_menu_hover	225	450	128	32	1	0	-1
button_options_input_medkit	element_menu_options	style_menu_box	style_menu_hover	225	500	128	32	1	0	-1
button_options_input_inventory	element_menu_options	style_menu_box	style_menu_hover	225	550	128	32	1	0	-1
button_ingame_restart	element_menu_ingame	style_menu_button	style_menu_button_hover	0	-100	128	32	1	0	-1
button_ingame_resume	element_menu_ingame	style_menu_button	style_menu_button_hover	0	0	128	32	1	0	-1
button_ingame_options	element_menu_ingame	style_menu_button	style_menu_button_hover	0	50	128	32	1	0	-1
button_ingame_menu	element_menu_ingame	style_menu_button	style_menu_button_hover	0	100	128	32	1	0	-1
button_editor_layer_base	element_editor_command	style_editor_layer1	style_editor_button_selected	0	0	32	32	0	0	0
button_editor_layer_floor0	element_editor_command	style_editor_layer2	style_editor_button_selected	34	0	32	32	0	0	1
button_editor_layer_floor1	element_editor_command	style_editor_layer3	style_editor_button_selected	68	0	32	32	0	0	2
button_editor_layer_floor2	element_editor_command	style_editor_layer4	style_editor_button_selected	102	0	32	32	0	0	3
button_editor_layer_flat	element_editor_command	style_editor_layer5	style_editor_button_selected	136	0	32	32	0	0	4
button_editor_layer_wall	element_editor_command	style_editor_wall	style_editor_button_selected	170	0	32	32	0	0	5
button_editor_layer_fore	element_editor_command	style_editor_fore	style_editor_button_selected	204	0	32	32	0	0	6
button_editor_move_layer_up	element_editor_command	style_editor_up	style_editor_button_selected	268	0	32	32	0	0	7
button_editor_move_layer_down	element_editor_command	style_editor_down	style_editor_button_selected	302	0	32	32	0	0	8
button_editor_mode_block	element_editor_command	style_editor_block	style_editor_button_selected	366	0	32	32	0	0	9
