identifier	parent	font	color	text	offset x	offset y	width	height	alignment x	alignment y
game_version		hud_small			20	-20	0	0	0	2
hud_fps		hud_small			-12	22	0	0	2	3
hud_message		hud_message			0	100	0	0	1	0
hud_messagebox_text	hud_messagebox	hud_medium			0	0	0	0	1	1
hud_player_name	hud_player_info	hud_larger			0	0	0	0	1	3
hud_player_level	hud_player_info	hud_medium			0	20	0	0	1	3
hud_player_health_text	hud_player_health	hud_large			0	23	0	0	1	3
hud_enemy_name	hud_enemy_info	hud_large			0	-9	0	0	1	3
hud_indicator_text	hud_indicator	hud_medium			0	-16	0	0	1	3
hud_experience_text	hud_experience	hud_small			0	-5	0	0	1	3
hud_mainhand_ammo	hud_mainhand	hud_larger			0	58	0	0	1	3
hud_offhand_ammo	hud_offhand	hud_larger			0	58	0	0	1	3
hud_skill0_text	skills_plus0	hud_medium		Strength	25	14	0	0	0	3
hud_skill0_value	skills_plus0	hud_medium		0	-32	14	0	0	0	3
hud_skill1_text	skills_plus1	hud_medium		Health	25	14	0	0	0	3
hud_skill1_value	skills_plus1	hud_medium		0	-32	14	0	0	0	3
hud_skill2_text	skills_plus2	hud_medium		Accuracy	25	14	0	0	0	3
hud_skill2_value	skills_plus2	hud_medium		0	-32	14	0	0	0	3
hud_skill3_text	skills_plus3	hud_medium		Reload Speed	25	14	0	0	0	3
hud_skill3_value	skills_plus3	hud_medium		0	-32	14	0	0	0	3
hud_skill4_text	skills_plus4	hud_medium		Attack Speed	25	14	0	0	0	3
hud_skill4_value	skills_plus4	hud_medium		0	-32	14	0	0	0	3
hud_skill5_text	skills_plus5	hud_medium		Move Speed	25	14	0	0	0	3
hud_skill5_value	skills_plus5	hud_medium		0	-32	14	0	0	0	3
hud_skill6_text	skills_plus6	hud_medium		Damage Resist	25	14	0	0	0	3
hud_skill6_value	skills_plus6	hud_medium		0	-32	14	0	0	0	3
hud_skill7_text	skills_plus7	hud_medium		Max Inventory Stack	25	14	0	0	0	3
hud_skill7_value	skills_plus7	hud_medium		0	-32	14	0	0	0	3
hud_skill8_text	skills_plus8	hud_medium		Max Stamina	25	14	0	0	0	3
hud_skill8_value	skills_plus8	hud_medium		0	-32	14	0	0	0	3
hud_skill_remaining_text	skills_hidden	hud_medium		Points Remaining	0	14	0	0	0	3
hud_skill_remaining_value	skills_hidden	hud_medium		0	-32	14	0	0	0	3
hud_skill_text	skill_info	hud_large			10	25	0	0	0	3
hud_skill_current	skill_info	hud_medium		Current Level	10	50	0	0	0	3
hud_skill_level	skill_info	hud_medium			20	70	0	0	0	3
hud_skill_next	skill_info	hud_medium		Next Level	10	100	0	0	0	3
hud_skill_level_next	skill_info	hud_medium			20	120	0	0	0	3
hud_player_damage_text	skills	hud_medium		Damage	-170	400	0	0	2	3
hud_player_damage_value	skills	hud_medium		0	145	400	0	0	0	3
hud_player_damageblock_text	skills	hud_medium		Damage Block	-170	420	0	0	2	3
hud_player_damageblock_value	skills	hud_medium		0	145	420	0	0	0	3
hud_player_damageresist_text	skills	hud_medium		Damage Resist	-170	440	0	0	2	3
hud_player_damageresist_value	skills	hud_medium		0	145	440	0	0	0	3
hud_player_kills_text	skills	hud_medium		Kills	-170	460	0	0	2	3
hud_player_kills_value	skills	hud_medium		0	145	460	0	0	0	3
menu_title_tutorial	button_title_tutorial	hud_medium		Tutorial	0	21	0	0	1	3
menu_title_single	button_title_single	hud_medium		Single Player	0	21	0	0	1	3
menu_title_options	button_title_options	hud_medium		Options	0	21	0	0	1	3
menu_title_exit	button_title_exit	hud_medium		Exit	0	21	0	0	1	3
menu_singleplayer_title	menu_singleplayer	hud_larger		Single Player	0	50	0	0	1	3
label_singleplayer_defaults	button_singleplayer_delete	hud_medium		Delete	0	21	0	0	1	3
label_singleplayer_save	button_singleplayer_play	hud_medium		Play	0	21	0	0	1	3
label_singleplayer_cancel	button_singleplayer_back	hud_medium		Back	0	21	0	0	1	3
menu_singleplayer_slot0_text	button_singleplayer_slot0	hud_medium		Empty Slot	0	160	0	0	1	3
menu_singleplayer_slot1_text	button_singleplayer_slot1	hud_medium		Empty Slot	0	160	0	0	1	3
menu_singleplayer_slot2_text	button_singleplayer_slot2	hud_medium		Empty Slot	0	160	0	0	1	3
menu_singleplayer_slot3_text	button_singleplayer_slot3	hud_medium		Empty Slot	0	160	0	0	1	3
menu_singleplayer_slot4_text	button_singleplayer_slot4	hud_medium		Empty Slot	0	160	0	0	1	3
menu_singleplayer_slot5_text	button_singleplayer_slot5	hud_medium		Empty Slot	0	160	0	0	1	3
menu_singleplayer_slot6_text	button_singleplayer_slot6	hud_medium		Empty Slot	0	160	0	0	1	3
menu_singleplayer_slot7_text	button_singleplayer_slot7	hud_medium		Empty Slot	0	160	0	0	1	3
menu_singleplayer_slot8_text	button_singleplayer_slot8	hud_medium		Empty Slot	0	160	0	0	1	3
menu_singleplayer_slot9_text	button_singleplayer_slot9	hud_medium		Empty Slot	0	160	0	0	1	3
label_new_title	menu_new	hud_larger		Create New Player	0	50	0	0	1	3
label_new_create	button_new_create	hud_medium		Create	0	21	0	0	1	3
label_new_cancel	button_new_cancel	hud_medium		Cancel	0	21	0	0	1	3
label_new_name	textbox_new_name	hud_medium		Name	0	-10	0	0	0	3
label_new_color	button_new_color0	hud_medium		Color	0	-15	0	0	0	3
label_options_title	menu_options	hud_larger		Options	0	50	0	0	1	3
label_options_defaults	button_options_defaults	hud_medium		Defaults	0	21	0	0	1	3
label_options_save	button_options_save	hud_medium		Save	0	21	0	0	1	3
label_options_cancel	button_options_cancel	hud_medium		Cancel	0	21	0	0	1	3
label_options_volume	menu_options	hud_large		Sound Volume	0	100	0	0	1	3
label_options_controls	menu_options	hud_large		Controls	0	200	0	0	1	3
label_options_up	button_options_input_up	hud_medium		Move Up	-150	21	0	0	1	3
label_options_down	button_options_input_down	hud_medium		Move Down	-150	21	0	0	1	3
label_options_left	button_options_input_left	hud_medium		Move Left	-150	21	0	0	1	3
label_options_right	button_options_input_right	hud_medium		Move Right	-150	21	0	0	1	3
label_options_use	button_options_input_use	hud_medium		Use	-150	21	0	0	1	3
label_options_inventory	button_options_input_inventory	hud_medium		Open Inventory	-150	21	0	0	1	3
label_options_fire	button_options_input_fire	hud_medium		Fire	-150	21	0	0	1	3
label_options_aim	button_options_input_aim	hud_medium		Aim	-150	21	0	0	1	3
label_options_reload	button_options_input_reload	hud_medium		Reload	-150	21	0	0	1	3
label_options_weaponswitch	button_options_input_switch	hud_medium		Weapon Switch	-150	21	0	0	1	3
label_options_medkit	button_options_input_medkit	hud_medium		Medkit	-150	21	0	0	1	3
label_options_sprint	button_options_input_sprint	hud_medium		Sprint	-150	21	0	0	1	3
label_options_config_up	button_options_input_up	hud_medium			0	21	0	0	1	3
label_options_config_down	button_options_input_down	hud_medium			0	21	0	0	1	3
label_options_config_left	button_options_input_left	hud_medium			0	21	0	0	1	3
label_options_config_right	button_options_input_right	hud_medium			0	21	0	0	1	3
label_options_config_use	button_options_input_use	hud_medium			0	21	0	0	1	3
label_options_config_inventory	button_options_input_inventory	hud_medium			0	21	0	0	1	3
label_options_config_fire	button_options_input_fire	hud_medium			0	21	0	0	1	3
label_options_config_aim	button_options_input_aim	hud_medium			0	21	0	0	1	3
label_options_config_reload	button_options_input_reload	hud_medium			0	21	0	0	1	3
label_options_config_weaponswitch	button_options_input_switch	hud_medium			0	21	0	0	1	3
label_options_config_medkit	button_options_input_medkit	hud_medium			0	21	0	0	1	3
label_options_config_sprint	button_options_input_sprint	hud_medium			0	21	0	0	1	3
menu_options_accept_text	menu_popup	hud_large		Press a key or button for	0	35	0	0	1	3
menu_options_accept_text_action	menu_popup	hud_large			0	75	0	0	1	3
menu_ingame_restart_text	button_ingame_restart	hud_medium		Restart Level	0	21	0	0	1	3
menu_ingame_resume_text	button_ingame_resume	hud_medium		Resume	0	21	0	0	1	3
menu_ingame_options_text	button_ingame_options	hud_medium		Options	0	21	0	0	1	3
menu_ingame_menu_text	button_ingame_menu	hud_medium		Main Menu	0	21	0	0	1	3
editor_inputbox_label	editor_inputbox	hud_medium			-610	20	0	0	2	3
