id	background color	border color	program	texture	texture color	stretch
style_menu_window	menu_red_opaque	menu_red_border	ortho_pos			1
style_menu_box	menu_red_bg	menu_red_border	ortho_pos			1
style_menu_hover	menu_selected	menu_selected	ortho_pos			1
style_menu_textbox	menu_darkred_bg	menu_red_border	ortho_pos			1
style_menu_select		menu_red_border	ortho_pos			1
style_menu_button	menu_button		ortho_pos			1
style_menu_button_hover	menu_button_hover		ortho_pos			1
style_menu_button_disabled	menu_button_disabled		ortho_pos			1
style_editor_button_selected	editor_hover		ortho_pos			1
style_editor_button_red			ortho_pos_uv	textures/editor/button.png	red	0
style_editor_button_green			ortho_pos_uv	textures/editor/button.png	green_dark	0
style_editor_button_blue			ortho_pos_uv	textures/editor/button.png	blue	0
style_editor_button_purple			ortho_pos_uv	textures/editor/button.png	purple_dark	0
style_editor_button_cyan			ortho_pos_uv	textures/editor/button.png	cyan_dark	0
style_editor_button_brown			ortho_pos_uv	textures/editor/button.png	brown	0
style_hud_inventory_bg	inventory_bg		ortho_pos			1
style_hud_inventory_body			ortho_pos_uv	textures/hud/body.png	inventory_body	1
style_hud_inventory			ortho_pos_uv	textures/hud/inventory_slot.png		1
style_hud_inventory_armor			ortho_pos_uv	textures/hud/inventory_armor.png	inventory_equipment	1
style_hud_inventory_gun			ortho_pos_uv	textures/hud/inventory_gun.png	inventory_equipment	1
style_hud_inventory_melee			ortho_pos_uv	textures/hud/inventory_melee.png	inventory_equipment	1
style_hud_inventory_overlay	inventory_overlay		ortho_pos			1
style_hud_skills	tooltip_bg		ortho_pos			1
style_hud_plus			ortho_pos_uv	textures/hud/plus.png		1
style_hud_plus_hover			ortho_pos_uv	textures/hud/plus_hover.png		1
style_hud_plus_disabled			ortho_pos_uv	textures/hud/plus_disabled.png		1
style_hud_indicator		editor_hover	ortho_pos			1
